185.58.74.136;;;tcp;21;ftp;open;Microsoft ftpd;;syn-ack;;10;cpe:/o:microsoft:windows
185.58.74.136;;;tcp;25;tcpwrapped;open;;;syn-ack;;8;
185.58.74.136;;;tcp;80;http;open;Microsoft IIS httpd;;syn-ack;8.0;10;cpe:/o:microsoft:windows
185.58.74.136;;;tcp;443;https;open;;;syn-ack;;3;
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
66.135.216.157;;;tcp;80;http;open;Apache Tomcat/Coyote JSP engine;;syn-ack;1.1;10;cpe:/a:apache:coyote_http_connector:1.1
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
192.168.0.1;;;tcp;80;http;open;;;syn-ack;;3;
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
66.135.220.42;;;tcp;80;http;open;Apache Tomcat/Coyote JSP engine;;syn-ack;1.1;10;cpe:/a:apache:coyote_http_connector:1.1
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
95.100.245.78;;;tcp;80;http;open;AkamaiGHost;Akamai's HTTP Acceleration/Mirror service;syn-ack;;10;
95.100.245.78;;;tcp;443;http;open;AkamaiGHost;Akamai's HTTP Acceleration/Mirror service;syn-ack;;10;
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
23.223.96.161;;;tcp;80;http;open;AkamaiGHost;Akamai's HTTP Acceleration/Mirror service;syn-ack;;10;
23.223.96.161;;;tcp;443;http;open;AkamaiGHost;Akamai's HTTP Acceleration/Mirror service;syn-ack;;10;
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
95.101.25.149;;;tcp;80;http;open;AkamaiGHost;Akamai's HTTP Acceleration/Mirror service;syn-ack;;10;
95.101.25.149;;;tcp;443;http;open;AkamaiGHost;Akamai's HTTP Acceleration/Mirror service;syn-ack;;10;
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
66.211.185.82;;;tcp;80;http;open;Apache Tomcat/Coyote JSP engine;;syn-ack;1.1;10;cpe:/a:apache:coyote_http_connector:1.1
66.211.185.82;;;tcp;443;socks5;open;;"No authentication; connection failed";syn-ack;;10;
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
66.211.160.87;;;tcp;80;http;open;Apache Tomcat/Coyote JSP engine;;syn-ack;1.1;10;cpe:/a:apache:coyote_http_connector:1.1
66.211.160.87;;;tcp;443;socks5;open;;"No authentication; connection failed";syn-ack;;10;
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
66.211.160.196;;;tcp;80;http;open;Apache Tomcat/Coyote JSP engine;;syn-ack;1.1;10;cpe:/a:apache:coyote_http_connector:1.1
66.211.160.196;;;tcp;443;socks5;open;;"No authentication; connection failed";syn-ack;;10;
host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
66.135.216.190;;;tcp;80;http;open;Apache Tomcat/Coyote JSP engine;;syn-ack;1.1;10;cpe:/a:apache:coyote_http_connector:1.1
66.135.216.190;;;tcp;443;socks5;open;;"No authentication; connection failed";syn-ack;;10;
