url,urlComes,time
https://github.com/parseplatform,https://l.facebook.com/l.php?h=ATPW6PkyQzdCjMRUWFjKXDIX0f8ZWRHgNgs6_fZ2Xk4fCS_1uy7iAMuYn1aXZYjnyLUL_HM1fNHRfpvJpAP2yTjtPeo3qRmvK2SfdLBSXiVfz1KO1tJ-DLRZMrCM&s=1&u=https%3A%2F%2Fgithub.com%2Fparseplatform,2017-03-29 18:45:58.734457
https://developers.facebook.com/docs/marketing-api/generatepreview,https://developers.facebook.com/docs/marketing-api/generatepreview,2017-03-29 18:45:58.784808
https://code.facebook.com/,https://code.facebook.com/posts/1754757044806180/introducing-opencellular-an-open-source-wireless-access-platform,2017-03-29 18:45:58.866258
https://chi2017.acm.org/index.html,https://chi2017.acm.org/index.html,2017-03-29 18:45:58.971419
https://www.facebook.com/policies/cookies/,https://fr-fr.facebook.com/help/852837148154446?helpref=popular_topics&ref=popular,2017-03-29 18:45:59.030243
https://github.com/parseplatform,https://l.facebook.com/l.php?h=ATO1KeplBKvgH2ljOE0GqfPLvCM437sTEMU3qY_jHOt-BLGUyvnmdV5pax9TmjWD-Fehid9v90eDR5TGIiTJ98Q8_ACmL9bOpaF3mp3agCOKbRfFvh6JaP9xFTlk&s=1&u=https%3A%2F%2Fgithub.com%2Fparseplatform,2017-03-29 18:45:59.230178
https://github.com/instagram,https://l.facebook.com/l.php?h=ATOsnO95y_629ldNzN50y75rRm7veJSw7kyzWnTKXhQO1t12Pxci-bKrsPdkFSIKNDVkVl_QrS7oNrFaVdEE-RQuL8T8SRh1Q9mjWVWeH4tqfZl0E98R65SIQ6C2&s=1&u=https%3A%2F%2Fgithub.com%2Finstagram,2017-03-29 18:45:59.238163
https://code.facebook.com/,https://code.facebook.com/posts/255396058125462/connectivity-lab-custom-designs-two-axis-gimbal-for-air-to-air-and-air-to-ground-laser-communications/,2017-03-29 18:45:59.273974
https://developers.facebook.com/blog/,https://developers.facebook.com/ads/blog/2014/,2017-03-29 18:45:59.320046
https://www.facebook.com/policies/cookies/,https://fr-fr.facebook.com/help/1735724473377677?helpref=popular_topics&ref=popular,2017-03-29 18:45:59.398713
https://developers.facebook.com/docs/graph-api/reference/rtb-dynamic-post/,https://developers.facebook.com/docs/graph-api/reference/rtb-dynamic-post/,2017-03-29 18:45:59.480712
https://github.com/instagram,https://l.facebook.com/l.php?h=ATOaHNZq48Kt5ZS7gC76t4JwiY7EIkyHDfuyEP-HYxe5pjuALeUjahdQJ1zOqY0t6JsiuKWf57eXinkAZfjyqSWsVKl4K0nyqf-yKRe7PR2hiqyTD0GSr_ochYPk&s=1&u=https%3A%2F%2Fgithub.com%2Finstagram,2017-03-29 18:45:59.518350
https://github.com/OculusVR,https://l.facebook.com/l.php?h=ATPflbuVekVf11pBANn-iBaGJ6D3cOdaiYqugvwQusVjnAmuDnq4qikKfx6p8sSXFQT7lSY-ADJQ5Kxma_-ZOCx4yPm2Fkh0mZ-8kgdmU7JHhSFDjQDFaXw3vNtI&s=1&u=https%3A%2F%2Fgithub.com%2FOculusVR,2017-03-29 18:45:59.529704
https://github.com/OculusVR,https://l.facebook.com/l.php?h=ATNYeVPmnBOFCFDftviwYR7ZftuTIpi9XdgNnzPnYFopnhnUOrPIZDXmsWXcHUCB_7KyCXzTXhsGPwHhVJqMMYtGFcGAWLAq8ND2vE30nzA7UDW6b00gkO7wRmiY&s=1&u=https%3A%2F%2Fgithub.com%2FOculusVR,2017-03-29 18:45:59.573901
https://code.facebook.com/,https://code.facebook.com/posts/,2017-03-29 18:45:59.685413
https://www.facebook.com/policies/cookies/,https://ar-ar.facebook.com/help/1501718476825210?helpref=faq_content,2017-03-29 18:45:59.893071
https://github.com/OculusVR,https://github.com/OculusVR,2017-03-29 18:46:00.235742
https://code.facebook.com/,https://code.facebook.com/events/1480925765466862/analytics-scale-2013/,2017-03-29 18:46:00.984832
https://developers.facebook.com/docs/marketing-api/reference/ad-preview/,https://developers.facebook.com/docs/marketing-api/reference/ad-preview/,2017-03-29 18:46:01.309413
https://developers.facebook.com/docs/marketing-api/reference/adgroup,https://developers.facebook.com/docs/marketing-api/reference/adgroup,2017-03-29 18:46:01.625824
